creator,niche,category,subcategory,micro_niche,full_path,confidence,matched_keywords
404_chen,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic"
5harath,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,youtube
aaronnkwok,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
adampalomeque,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,make
alexathe_first,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,tip
alexmonahan57,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,tip
alicia._.915,unknown,unknown,,,,0.0,
alicodes7,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic"
amberwolfugc,unknown,unknown,,,,0.0,
ant.matthias,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,"automation,chatgpt"
apptok2,unknown,unknown,,,,0.0,
aqlodite,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,make
arramalek,saas,tech,saas,,tech > saas,1.0,"saas,software as a service"
asyncfaddi,coding,tech,coding,,tech > coding,1.0,"coding,dev"
ayomaariabar7,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
azhar_tech_,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
baldunc_,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
barbiebytes,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
barrywhit3,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
base,unknown,unknown,,,,0.0,
beingsila,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
bella.artois7,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,make
bennettx.ai,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,"n8n,ai tool"
bilalfrfr,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
billionairebrooklynn,saas,tech,saas,,tech > saas,1.0,saas
billyqiu.in.tokyo,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
bipmvp,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,buildinpublic
bitalk_podcast,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
bookishbby7,credit_cards,finance,personal_finance,credit_cards,finance > personal_finance > credit_cards,1.0,rewards
boredjrb,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
braydenhustles,saas,tech,saas,,tech > saas,1.0,saas
brbrryeu,unknown,unknown,,,,0.0,
brendangoforth,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,"ai,llm"
briarcochran,unknown,unknown,,,,0.0,
brycent_,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
buckshotio,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
build.with.pete,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
build_in_public,notion_setup,productivity,note_taking,notion_setup,productivity > note_taking > notion_setup,1.0,"notion,notion template"
buildinginpubliclol,unknown,unknown,,,,0.0,
bysumhea,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
cameronblackwoodcode,coding,tech,coding,,tech > coding,1.0,"code,coding,developer,dev"
changegrower,dev_tools,tech,saas,dev_tools,tech > saas > dev_tools,1.0,api
charles.unemployed,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,buildinpublic
chprlt.jpeg,mobile_dev,tech,coding,mobile_dev,tech > coding > mobile_dev,1.0,ios
chris.raroque,coding,tech,coding,,tech > coding,1.0,"code,coding,developer,dev"
chris_gonzales,unknown,unknown,,,,0.0,
chrisbuilds64,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic,solopreneur"
ciawhktnm8a,unknown,unknown,,,,0.0,
clarawithbooktok,unknown,unknown,,,,0.0,
clippedmarc,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
clockworkstream,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"buildinpublic,solopreneur"
cobo,mobile_dev,tech,coding,mobile_dev,tech > coding > mobile_dev,1.0,"ios,android"
codex_kg,coding,tech,coding,,tech > coding,1.0,"code,programming,developer,dev"
connorzarousaas,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
courtzcorner,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
cultureofcode,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
daniellimae,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic"
davidgoudet5,coding,tech,coding,,tech > coding,1.0,"developer,dev"
dbjtmusic,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,make
donthedeveloper,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
doolahq,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,hack
duncantalkstech,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,"tip,hack"
eliana_codes,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
eliasgoat4,unknown,unknown,,,,0.0,
eo_vietnam,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
ericawenger,education,education,,,education,1.0,how to
faithchosen,unknown,unknown,,,,0.0,
faizanas1f,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,chatgpt
faustoct_,coding,tech,coding,,tech > coding,1.0,"coding,developer,dev"
flipper.ai,mobile_dev,tech,coding,mobile_dev,tech > coding > mobile_dev,1.0,android
founderjorrel,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
foundersoren,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
futurastudi0,coding,tech,coding,,tech > coding,1.0,"coding,dev"
gabtheory0,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,make
girvxls,unknown,unknown,,,,0.0,
hanxtech,unknown,unknown,,,,0.0,
heyashleeduarte_,productivity,productivity,,,productivity,1.0,productivity
heynandy,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
hmzcodes,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic,solopreneur"
hot_town_,coding,tech,coding,,tech > coding,1.0,"code,coding,developer,dev"
ibrahimontape,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,buildinpublic
im_wajjih,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
imicedtee,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
inspo.app,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
ioan69595,unknown,unknown,,,,0.0,
itgirlwealth,coding,tech,coding,,tech > coding,1.0,"code,coding"
jaimebunag,coding,tech,coding,,tech > coding,1.0,code
jakonokoi,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
jared_fromwork,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
jeaninemojum,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
jeremybohdan,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
jjinyin,design_tools,tech,saas,design_tools,tech > saas > design_tools,1.0,canva
jl.faceless.digita,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,buildinpublic
jonas.viraldrip,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,automation
julianisdoing,dev_tools,tech,saas,dev_tools,tech > saas > dev_tools,1.0,"hosting,vercel,supabase"
jun_yuh,unknown,unknown,,,,0.0,
justbcheung,tech,tech,,,tech,1.0,"tech,software"
justsaysteven,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
jyedezylva,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ml
kadyrovadel,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,solopreneur"
katsheppard1,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
kevin.codes.cool,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
kidousproatlife,saas,tech,saas,,tech > saas,1.0,saas
kimmytqo1sx,unknown,unknown,,,,0.0,
krisd.ai,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,"ai,gpt"
kuvaal,unknown,unknown,,,,0.0,
kyleslyf,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
l10raw,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
ladylocs101,unknown,unknown,,,,0.0,
landforce_,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
launchctrl.ai,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
lifeconluca,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
loganshippy,coding,tech,coding,,tech > coding,1.0,"code,developer,dev"
luckycharrrrmm,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
madcatanimation,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,hack
malejandrogutierrez,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
markmywords484,coding,tech,coding,,tech > coding,1.0,"code,developer,dev"
markph36,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
martabassof,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
mathys_dcrt,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
maximilianbhansen,coding,tech,coding,,tech > coding,1.0,"developer,dev"
mekiahbuilds,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
memkoh,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
mendes.wrld,revenue_sharing,tech,indie_hacking,revenue_sharing,tech > indie_hacking > revenue_sharing,1.0,"mrr,$10k"
mikestrives,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
milo.scales,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
mobiscrub_1,mobile_dev,tech,coding,mobile_dev,tech > coding > mobile_dev,1.0,android
modstation..online,unknown,unknown,,,,0.0,
mr.paidsocial,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
mrsamandarenee,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
mrzcandee,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
musemark.co,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
nanadelbiz,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
nategold.ai,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,"ai,gpt"
nicelikelce,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
noha.creates,coding,tech,coding,,tech > coding,1.0,"coding,dev"
onetofigure,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,youtube
personalbrandlaunch0,marketing,marketing,,,marketing,1.0,marketing
petamarket,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,hack
peterodia,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
pinkgoneberserk,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
pnlp.co,crm_sales,tech,saas,crm_sales,tech > saas > crm_sales,1.0,crm
preneurism,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
preshdevvv,coding,tech,coding,,tech > coding,1.0,"code,dev"
quantr.culiteamdev,coding,tech,coding,,tech > coding,1.0,"code,dev"
rachaelclarkk666,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,make
reality.builders,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,tip
riici.amandaa,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
rmbink,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
robbinmarx,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
ryangcox_,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic"
rylee.simmons,unknown,unknown,,,,0.0,
saas.tok,unknown,unknown,,,,0.0,
saas_tok,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,"ai,gpt"
saasgod,coding,tech,coding,,tech > coding,1.0,"programming,developer,dev"
saastechjourney,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
sabrina_ramonov,coding,tech,coding,,tech > coding,1.0,"coding,dev"
sam_allyoos,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
sas4tt,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
sast0k,unknown,unknown,,,,0.0,
saunagurll,gamedev,tech,coding,gamedev,tech > coding > gamedev,1.0,unity
sawasteek,unknown,unknown,,,,0.0,
sawyer_duet,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
scott.frenzel,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
seth.keystone,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,buildinpublic
sethhilary,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,hack
shahofplano,unknown,unknown,,,,0.0,
sicknider.raw,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,buildinpublic
simongrimm_,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic"
simontechlife,coding,tech,coding,,tech > coding,1.0,"code,coding,dev"
snok.nguyen,coding,tech,coding,,tech > coding,1.0,"code,developer,dev"
socialhit_,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
sociallybrenda,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
socialmindofficial,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,tip
soraa_xi0,unknown,unknown,,,,0.0,
starkstechnology,coding,tech,coding,,tech > coding,1.0,"code,programming"
starterstory,mobile_dev,tech,coding,mobile_dev,tech > coding > mobile_dev,1.0,mobile app
stovebuilds,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
studyv.tok,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,"tip,hack"
studywithcalla,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,hack
swaraj.human,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic"
teamrosa7,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
the.hacker.house,coding,tech,coding,,tech > coding,1.0,"code,coding,dev"
thedombaptist,saas,tech,saas,,tech > saas,1.0,saas
thelegendmerlin,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,"building,shipping"
therealkingofseans,coding,tech,coding,,tech > coding,1.0,"code,coding"
thereluctantcreator_,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic"
thewebscrapingguy,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
thuuiop,unknown,unknown,,,,0.0,
tiktokshop_us,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
tinoecomm,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
titaniumcladstudios,coding,tech,coding,,tech > coding,1.0,"developer,dev"
tkkader,social_media,marketing,content_marketing,social_media,marketing > content_marketing > social_media,1.0,tiktok
tobitheog,coding,tech,coding,,tech > coding,1.0,"developer,dev"
transferpilot,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
trenjoyerz,maker_journey,tech,indie_hacking,maker_journey,tech > indie_hacking > maker_journey,1.0,building
twkrapps,mobile_dev,tech,coding,mobile_dev,tech > coding > mobile_dev,1.0,"ios,android"
tylamarieofficial,automation_tools,tech,saas,automation_tools,tech > saas > automation_tools,1.0,make
tylersmerz,marketing,marketing,,,marketing,1.0,marketing
tytylerartwork,unknown,unknown,,,,0.0,
ulrich.gero,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
user032153540,unknown,unknown,,,,0.0,
valentinephl,tech,tech,,,tech,1.0,digital
voice_lock_screen,unknown,unknown,,,,0.0,
waleedsmoments,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
wilgloryy,unknown,unknown,,,,0.0,
withsarina,quick_tips,education,tech_tutorials,quick_tips,education > tech_tutorials > quick_tips,1.0,tip
woohimself,ai_ml,tech,coding,ai_ml,tech > coding > ai_ml,1.0,ai
wuy.iz,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack"
xiaoyinqu0,unknown,unknown,,,,0.0,
xjoshwalker,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,solopreneur"
youfoundme9871,unknown,unknown,,,,0.0,
youraveragetechbro,tech,tech,,,tech,1.0,"tech,software"
yury.ai,unknown,unknown,,,,0.0,
zak.fullstack,indie_hacking,tech,indie_hacking,,tech > indie_hacking,1.0,"indiehacker,indiehack,buildinpublic"
